Date,Country,Sentiment
2020-04-15,Russia,-1.9708333739233339
2023-08-28,Saudi Arabia,0.95477652857720441
2023-12-20,UAE,1.1785174572436019
2020-04-01,Saudi Arabia,-2.0975874831573318
2021-05-16,Saudi Arabia,-2.84962734808944
2022-02-17,UAE,2.0674334970542896
2022-09-01,Iraq,-2.972764830388789
2024-07-11,USA,-0.68877628252327006
2024-07-10,Saudi Arabia,0.58447574780527756
2025-08-31,USA,-1.2960229683475588
2020-03-08,USA,-1.2758196034604283
2023-07-19,UAE,1.8256596959608384
2024-04-06,China,0.93586850928105081
2025-03-13,Canada,-0.32176259684072017
2025-08-12,UAE,1.0806023133286855
2020-03-24,China,-1.4807700572130367
2020-03-22,Russia,-1.9722632528279751
2023-02-08,China,0.98616000066037313
2026-03-08,China,1.6423880457611153
2022-04-15,Russia,-2.7916569578278931
2020-10-31,China,0.3500619770408
2026-03-20,Russia,-2.1087517430038174
2025-02-04,Iraq,-1.2612013442877184
2025-07-03,USA,-1.190573122152923
2020-12-30,USA,-1.1258514648576414
2022-10-09,UAE,2.3059882297837655
2022-12-28,Iraq,-3.1007022740477743
2026-04-05,Russia,-2.6479898233145072
2023-03-11,China,1.2693011173832229
2022-06-28,Canada,-0.065020469999896219
2021-10-10,Russia,-2.2685046255405248
2021-09-02,China,0.72580646187662445
2025-08-22,USA,-1.09687354253799
2022-02-22,Saudi Arabia,0.44854334498055781
2022-02-24,Russia,-3.127218436009763
2020-12-18,Saudi Arabia,-0.033189024907988057
2024-03-04,Saudi Arabia,0.286915450164967
2022-02-04,UAE,1.3505073151315796
2024-08-12,USA,-0.5941536626599967
2023-05-24,Saudi Arabia,0.38070026782548716
2024-02-16,Saudi Arabia,0.55425964392917626
2023-12-05,Canada,-0.5319199034126898
2023-11-23,Canada,-0.50489501407013759
2024-04-09,China,1.348051023756369
2020-11-24,USA,-0.63102244069234681
2021-09-14,UAE,1.5398490962394311
2023-07-22,USA,-0.79548010173412464
2024-10-05,Russia,-2.0376736254077779
2021-03-16,Saudi Arabia,-0.68097959539333663
2021-08-16,USA,-1.3526146576418348
2023-07-07,Iraq,-1.6058757004667334
2021-01-09,Saudi Arabia,-0.27274480348727126
2020-08-17,USA,-1.3780005759650269
2022-06-30,Canada,-0.14674626447900643
2025-11-06,UAE,1.5056392410648758
2022-04-21,Russia,-2.3415383666872898
2024-07-31,UAE,0.076299195707872011
2025-02-05,USA,-0.893575501446466
2022-07-11,Canada,-0.39092433465455612
2023-06-11,Iraq,-1.5455227916918886
2020-10-13,USA,-1.168526686156929
2023-01-13,Iraq,-1.9235423883080087
2023-03-02,USA,-1.0132377277701197
2025-10-29,Russia,-2.0508610367593221
2024-01-29,Russia,-2.1573319868462528
2024-01-22,UAE,2.0112583396405381
2024-08-30,Saudi Arabia,0.69059630285531648
2021-01-01,Russia,-1.0341310843314211
2024-01-04,UAE,1.6114306157265808
2020-09-19,Saudi Arabia,-0.98309215295909591
2020-10-21,China,0.21574715936103409
2023-04-04,Canada,-0.57141039563134455
2024-07-31,Iraq,-3.501184592569917
2023-03-09,China,1.3512697662978925
2021-12-26,Canada,-0.14170696902071528
2020-08-07,USA,-1.5255132330559349
2025-01-12,UAE,2.0884243851381625
2021-04-05,China,-0.23031632410148112
2023-05-06,USA,-0.55587123730760546
2021-05-26,Russia,-1.6744648245488674
2020-01-11,Iraq,-4.4386670630431508
2023-04-13,Saudi Arabia,0.44338521804156006
2024-01-15,Canada,-0.55779902134423
2023-09-22,Iraq,-1.3283855324721119
2025-11-29,Saudi Arabia,0.92785275906738307
2025-11-03,Iraq,-0.6458641022811229
2022-09-29,Canada,0.085170418209124826
